h3_polygon,route_id,route_long_name,trip_id,company,transport_mode,stop_sequence,arrival_time,departure_time,stop_name,stop_lon,stop_lat,arrival_date,departure_date,h3_cell
"POLYGON ((1.674569 44.891915, 1.382481 44.825952, 1.32443 44.597064, 1.557055 44.434897, 1.847079 44.501056, 1.906533 44.729185, 1.674569 44.891915))",FR:Line::e903aa93-d023-451c-af27-bac68d4381d0:,Paris - Rodez / Albi,OCESN3756F3349474:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,7,24:12:00,24:13:00,Assier,1.869757,44.67468,2024-11-03 00:12:00,2024-11-03 00:12:00,595484906214129663
"POLYGON ((2.266223 45.049507, 2.205304 44.821817, 2.443908 44.685772, 2.744497 44.777186, 2.807218 45.005182, 2.567549 45.141461, 2.266223 45.049507))",FR:Line::e903aa93-d023-451c-af27-bac68d4381d0:,Paris - Rodez / Albi,OCESN3790F3350226:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,0,22:42:00,22:42:00,Aurillac,2.435583,44.921041,2024-11-03 22:42:00,2024-11-03 22:42:00,595484897624195071
"POLYGON ((-0.459069 45.264527, -0.75674 45.193002, -0.808824 44.961184, -0.564791 44.801606, -0.269192 44.873254, -0.215564 45.104356, -0.459069 45.264527))",FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,Nantes - Bordeaux,OCESN3833F3407341:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,7,16:05:00,16:05:00,Bordeaux Saint-Jean,-0.556875,44.825233,2024-11-03 16:05:00,2024-11-03 16:05:00,594904750621720575
"POLYGON ((-0.459069 45.264527, -0.75674 45.193002, -0.808824 44.961184, -0.564791 44.801606, -0.269192 44.873254, -0.215564 45.104356, -0.459069 45.264527))",FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,Nantes - Bordeaux,OCESN3856F3555181:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,0,13:55:00,13:55:00,Bordeaux Saint-Jean,-0.556875,44.825233,2024-11-03 13:55:00,2024-11-03 13:55:00,594904750621720575
"POLYGON ((2.249146 49.036218, 1.9384 48.979596, 1.874725 48.758141, 2.120222 48.594025, 2.428614 48.650849, 2.493851 48.871587, 2.249146 49.036218))",FR:Line::276892b7-b6aa-4a9b-a989-62f4abea526b:,Paris - Toulouse,OCESN3694F3175633:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,12,23:28:00,23:28:00,Paris Austerlitz,2.364891,48.842285,2024-11-03 23:28:00,2024-11-03 23:28:00,595032912445833215
"POLYGON ((-0.846685 46.045885, -1.14857 45.974582, -1.200079 45.743296, -0.951317 45.584011, -0.65155 45.655421, -0.598437 45.886008, -0.846685 46.045885))",FR:Line::75711759-571a-4c6c-a9fa-57cfb79a4b2f:,Nantes - Bordeaux,OCESN3852F3461748:2024-10-16T00:34:14Z,sncf_intercites,TRAIN,3,09:53:00,09:55:00,Rochefort,-0.963219,45.946991,2024-11-03 09:53:00,2024-11-03 09:53:00,594904664722374655
"POLYGON ((1.326399 43.51629, 1.039589 43.446915, 0.983681 43.215794, 1.213205 43.054815, 1.498035 43.124373, 1.55531 43.354726, 1.326399 43.51629))",FR:Line::cfa40ffd-5af4-49b0-99a9-99857ba5f7ff:,Paris - Nevers - Clermont,OCESN3971F3443812:2024-10-15T00:33:00Z,sncf_intercites,TRAIN,2,31:43:00,31:45:00,Auterive,1.468831,43.348993,2024-11-03 07:43:00,2024-11-03 07:43:00,595484528257007615
"POLYGON ((-0.723924 47.808976, -1.034045 47.74119, -1.087349 47.512923, -0.832229 47.35312, -0.524347 47.421011, -0.469357 47.648598, -0.723924 47.808976))",OCESN-87547000-87471003, -,OCESN4091F3381789:2024-09-25T00:19:05Z,sncf_intercites,TRAIN,5,12:59:00,13:02:00,Angers Saint-Laud,-0.55677,47.464649,2024-11-03 12:59:00,2024-11-03 12:59:00,594904982549954559
"POLYGON ((-1.654791 47.602456, -1.965379 47.531502, -2.015563 47.301531, -1.756901 47.143177, -1.448523 47.214205, -1.396608 47.443512, -1.654791 47.602456))",FR:Line::2381a54a-1f59-4452-88c7-303179dd472b:,Paris - Nantes,OCESN4080F3330216:2024-10-01T00:19:58Z,sncf_intercites,TRAIN,0,06:40:00,06:40:00,Nantes,-1.542077,47.217491,2024-11-03 06:40:00,2024-11-03 06:40:00,594902147871539199
"POLYGON ((0.952079 47.519804, 0.646365 47.456488, 0.588119 47.230298, 0.834007 47.068138, 1.137485 47.131619, 1.1973 47.357094, 0.952079 47.519804))",FR:Line::2381a54a-1f59-4452-88c7-303179dd472b:,Paris - Nantes,OCESN4080F3330216:2024-10-01T00:19:58Z,sncf_intercites,TRAIN,3,08:29:00,08:32:00,Saint-Pierre-des-Corps,0.723539,47.38614,2024-11-03 08:29:00,2024-11-03 08:29:00,594904793571393535
