h3,x,y,lat,lng
595030507264147455,872640.9153292959,-221544.7267498388,45.654017486756686,5.828420911008211
595485069422886911,890405.0051433847,-500529.0660996097,43.14812797468066,5.887371699992849
594920014935490559,644540.3790959435,300529.0105018761,50.40214331211701,2.9629669811187314
594904793571393535,490743.5295481561,-44255.69485773213,47.29420437718472,0.8928481288575622
595030756372250623,784831.5270473764,-96406.65056142281,46.80822479449414,4.7561651802870175
595030782142054399,799465.0912128246,-136383.94503409817,46.44482651907045,4.9295882515131035
595484940573868031,399905.4679799309,-502794.8960905187,43.15998921185254,-0.11003917803691494
595484511077138431,541264.573184211,-458319.9930823819,43.584726891739884,1.6129412001892123
594919920446210047,563767.4392200467,325350.2375367084,50.62581882073933,1.824471838644195
595033041294852095,505541.1670132362,30611.556214692915,47.969578593751265,1.0717268883787643
595030533033951231,814182.528561815,-176576.09909164836,46.079295793921126,5.101587682338378
594904888060674047,530663.806942307,-174751.56331182376,46.127263130125115,1.4407889016434543
595484854674522111,584718.9293789332,-345997.8874337964,44.59372447805005,2.144767142697578
595030722012512255,656504.0665985467,-83638.59621233284,46.94713768841998,3.078103032605566
595485413020270591,933340.8878347587,-385687.8077922476,44.15571462075923,6.4886640960101
595032757827010559,642425.8539265597,-44181.385379516316,47.302874775280095,2.897193985865545
595033024114982911,533461.7204098498,61872.06762532427,48.25424188724845,1.4405560636387647
595033058474721279,520241.82562052837,105012.59438749016,48.6405842870985,1.2542197469280818
595029708400230399,940179.8181492515,155746.31287117637,49.007518083216446,6.989584732611567
595484700055699455,455772.7014155749,-557964.0911974566,42.6805485795093,0.5884235849398792
595032697697468415,727127.0317666568,61345.25084688334,48.24009533721569,4.047943844939254
594904973960019967,420840.67179946206,-64167.06949913874,47.09942152882058,-0.022101934547192743
595032792186748927,628428.7708308661,-4940.651292554685,47.65642281127355,2.7148221331693523
594920160964378623,549354.3147949477,252388.28164268605,49.9688550203069,1.630479168040989
594904956780150783,350238.51499868906,-84240.83460031694,46.89540035406512,-0.939085764821932
595029639680753663,826094.0366244668,127868.09397826118,48.80974389605588,5.415697881497827
594919954805948415,591161.2010941817,355390.043298105,50.896862775488174,2.210862739765946
595032680517599231,755305.6240630853,96470.67728465302,48.54944311718465,4.440311251489403
595032903855898623,548029.5188181362,135971.54497444915,48.92194268015912,1.6273023512124007
595031649725448191,797134.4765957311,205170.52951793605,49.51440271429123,5.059680859494371
595030850861531135,642024.0783489682,-274639.36292674526,45.232766089036154,2.8703358407212076
594903994707476479,325795.62231008377,122539.69951957087,48.74229133292102,-1.3933336230126243
595030704832643071,642226.6485746879,-158751.12677813368,46.273327665118224,2.8835827231230207
595030550213820415,699385.1496835515,-320042.2934236403,44.81930349145704,3.5892484959185578
595485387250466815,728464.953550397,-401969.9687465237,44.079902186698845,3.9338052736883284
595031924603355135,726472.9769224111,284912.4609365408,50.250040592346814,4.109938612157449
594904321124990975,479069.36014418496,117121.34074108415,48.742754531088195,0.6920847721078677
594904544463290367,418999.8214116785,-183780.23470407614,46.02467839775815,0.002456435494311351
595484828904718335,500999.04302443535,-326767.49513822433,44.759027134172065,1.0901119296154251
594902637497810943,332544.5223635439,-281278.31811086566,45.120478092867955,-1.0545868766513113
594902663267614719,359442.1627030743,-369834.63250778196,44.33711761433331,-0.6691567441052763
