h3_cell,city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
595484588386549759,Saint-Gély-du-Fesc,Saint-Gely-du-Fesc,43.6931,3.8067,France,FR,FRA,Occitanie,,10537,1250953025
595485421610205183,Apt,Apt,43.8769,5.3969,France,FR,FRA,Provence-Alpes-Côte d’Azur,minor,10536,1250780194
595485172502102015,Mouans-Sartoux,Mouans-Sartoux,43.6211,6.9725,France,FR,FRA,Provence-Alpes-Côte d’Azur,,10531,1250387872
595032697697468415,Sainte-Savine,Sainte-Savine,48.2956,4.0497,France,FR,FRA,Grand Est,,10515,1250324256
595030421364801535,Pierre-Bénite,Pierre-Benite,45.7036,4.8242,France,FR,FRA,Auvergne-Rhône-Alpes,,10515,1250048167
594919954805948415,Marck,Marck,50.9486,1.9508,France,FR,FRA,Hauts-de-France,,10494,1250431956
595029330443108351,Héricourt,Hericourt,47.5783,6.7622,France,FR,FRA,Bourgogne-Franche-Comté,,10478,1250957628
595032929625702399,Clermont,Clermont,49.3797,2.4133,France,FR,FRA,Hauts-de-France,minor,10475,1250020067
595033006935113727,Villers-Cotterêts,Villers-Cotterets,49.26,3.0906,France,FR,FRA,Hauts-de-France,,10454,1250546723
595031976142962687,Vieux-Condé,Vieux-Conde,50.4603,3.5692,France,FR,FRA,Hauts-de-France,,10446,1250738917
595030412774866943,Tarare,Tarare,45.8969,4.4339,France,FR,FRA,Auvergne-Rhône-Alpes,,10428,1250412318
595030618933297151,Portes-lès-Valence,Portes-les-Valence,44.8742,4.8769,France,FR,FRA,Auvergne-Rhône-Alpes,,10422,1250226611
595485507509551103,Villeneuve-lès-Maguelone,Villeneuve-les-Maguelone,43.5331,3.8617,France,FR,FRA,Occitanie,,10405,1250073253
595032646157860863,Thorigny-sur-Marne,Thorigny-sur-Marne,48.8788,2.7075,France,FR,FRA,Île-de-France,,10405,1250601682
595032912445833215,Croissy-sur-Seine,Croissy-sur-Seine,48.8783,2.1433,France,FR,FRA,Île-de-France,,10399,1250762354
595484511077138431,Villeneuve-Tolosane,Villeneuve-Tolosane,43.5247,1.3425,France,FR,FRA,Occitanie,,10369,1250556540
595031924603355135,Jeumont,Jeumont,50.2953,4.1019,France,FR,FRA,Hauts-de-France,,10342,1250978042
595484725825503231,Cabestany,Cabestany,42.6811,2.9433,France,FR,FRA,Occitanie,,10338,1250178816
595029321853173759,Wittelsheim,Wittelsheim,47.8058,7.2383,France,FR,FRA,Grand Est,,10334,1250294605
594904793571393535,La Riche,La Riche,47.39,0.6614,France,FR,FRA,Centre-Val de Loire,,10325,1250677508
595032912445833215,Villebon-sur-Yvette,Villebon-sur-Yvette,48.7002,2.2277,France,FR,FRA,Île-de-France,,10322,1250107320
595484751595307007,Limoux,Limoux,43.0569,2.2186,France,FR,FRA,Occitanie,minor,10302,1250442739
595485172502102015,La Trinité,La Trinite,43.7417,7.3147,France,FR,FRA,Provence-Alpes-Côte d’Azur,,10276,1250907387
595030868041400319,Gerzat,Gerzat,45.8267,3.1456,France,FR,FRA,Auvergne-Rhône-Alpes,,10258,1250589751
594903994707476479,Avranches,Avranches,48.685,-1.3556,France,FR,FRA,Normandie,minor,10240,1250971017
595029682630426623,Brumath,Brumath,48.7328,7.7092,France,FR,FRA,Grand Est,,10238,1250341449
595029321853173759,Pfastatt,Pfastatt,47.7697,7.3025,France,FR,FRA,Grand Est,,10237,1250577618
594904175096102911,Chantepie,Chantepie,48.0892,-1.6153,France,FR,FRA,Bretagne,,10232,1250992436
594902147871539199,Treillières,Treillieres,47.3319,-1.6256,France,FR,FRA,Pays de la Loire,,10230,1250987852
595030421364801535,Miribel,Miribel,45.8253,4.9536,France,FR,FRA,Auvergne-Rhône-Alpes,,10225,1250853320
594904149326299135,Dinard,Dinard,48.63,-2.06,France,FR,FRA,Bretagne,,10219,1250886929
595033049884786687,La Chapelle-Saint-Mesmin,La Chapelle-Saint-Mesmin,47.8906,1.8408,France,FR,FRA,Centre-Val de Loire,,10218,1250533269
595032912445833215,Igny,Igny,48.7421,2.2261,France,FR,FRA,Île-de-France,,10213,1250423219
595030868041400319,Aubière,Aubiere,45.7517,3.1117,France,FR,FRA,Auvergne-Rhône-Alpes,,10211,1250586838
594920014935490559,Oignies,Oignies,50.47,2.9944,France,FR,FRA,Hauts-de-France,,10210,1250022746
595031976142962687,Douchy-les-Mines,Douchy-les-Mines,50.3022,3.3939,France,FR,FRA,Hauts-de-France,,10207,1250347998
594920014935490559,Courrières,Courrieres,50.4586,2.9481,France,FR,FRA,Hauts-de-France,,10199,1250097393
594902147871539199,Blain,Blain,47.4769,-1.7622,France,FR,FRA,Pays de la Loire,,10187,1250245531
595030524444016639,Gaillard,Gaillard,46.1858,6.2083,France,FR,FRA,Auvergne-Rhône-Alpes,,10175,1250388590
594920264043593727,Neuville-en-Ferrain,Neuville-en-Ferrain,50.7472,3.1589,France,FR,FRA,Hauts-de-France,,10160,1250327204
594902122101735423,Aizenay,Aizenay,46.74,-1.6083,France,FR,FRA,Pays de la Loire,,10146,1250153620
594904750621720575,Parempuyre,Parempuyre,44.95,-0.6039,France,FR,FRA,Nouvelle-Aquitaine,,10142,1250645547
595030524444016639,Divonne-les-Bains,Divonne-les-Bains,46.3567,6.1428,France,FR,FRA,Auvergne-Rhône-Alpes,,10137,1250225369
594904346894794751,Caudebec-lès-Elbeuf,Caudebec-les-Elbeuf,49.2817,1.0222,France,FR,FRA,Normandie,,10135,1250684300
595484528257007615,Auterive,Auterive,43.3514,1.4753,France,FR,FRA,Occitanie,,10126,1250506554
595485103782625279,Fuveau,Fuveau,43.4528,5.5619,France,FR,FRA,Provence-Alpes-Côte d’Azur,,10115,1250220268
594904570233094143,Buxerolles,Buxerolles,46.5983,0.35,France,FR,FRA,Nouvelle-Aquitaine,,10105,1250002676
594902225180950527,Fouesnant,Fouesnant,47.8942,-4.0108,France,FR,FRA,Bretagne,,10098,1250999266
595485060832952319,Gignac-la-Nerthe,Gignac-la-Nerthe,43.3932,5.2356,France,FR,FRA,Provence-Alpes-Côte d’Azur,,10083,1250840711
594904329714925567,Mondeville,Mondeville,49.1747,-0.3197,France,FR,FRA,Normandie,,10075,1250124889
595029588141146111,Saint-Max,Saint-Max,48.7017,6.2072,France,FR,FRA,Grand Est,,10073,1250606222
595485095192690687,Cabriès,Cabries,43.4419,5.3803,France,FR,FRA,Provence-Alpes-Côte d’Azur,,10070,1250068998
595031658315382783,Villerupt,Villerupt,49.4697,5.9286,France,FR,FRA,Grand Est,,10069,1250714634
595484519667073023,Mazamet,Mazamet,43.4928,2.3742,France,FR,FRA,Occitanie,,10064,1250230750
594920032115359743,Auchel,Auchel,50.5086,2.4744,France,FR,FRA,Hauts-de-France,,10062,1250043382
594904939600281599,Parthenay,Parthenay,46.6462,-0.2478,France,FR,FRA,Nouvelle-Aquitaine,minor,10058,1250234426
595032886676029439,Méry-sur-Oise,Mery-sur-Oise,49.0644,2.1872,France,FR,FRA,Île-de-France,,10046,1250888044
595032912445833215,Vernouillet,Vernouillet,48.9728,1.9842,France,FR,FRA,Île-de-France,,10025,1250772966
595484725825503231,Saint-Laurent-de-la-Salanque,Saint-Laurent-de-la-Salanque,42.7744,2.9914,France,FR,FRA,Occitanie,,10010,1250558696
595485069422886911,Le Beausset,Le Beausset,43.1989,5.8033,France,FR,FRA,Provence-Alpes-Côte d’Azur,,10007,1250592010
594904750621720575,Saint-Loubès,Saint-Loubes,44.9181,-0.4269,France,FR,FRA,Nouvelle-Aquitaine,,10005,1250074053
595032886676029439,Pierrelaye,Pierrelaye,49.0233,2.1508,France,FR,FRA,Île-de-France,,9998,1250307197
595031976142962687,Aniche,Aniche,50.3306,3.2519,France,FR,FRA,Hauts-de-France,,9997,1250709918
594904759211655167,Soyaux,Soyaux,45.6414,0.1986,France,FR,FRA,Nouvelle-Aquitaine,,9995,1250934595
595485095192690687,Lambesc,Lambesc,43.6547,5.2625,France,FR,FRA,Provence-Alpes-Côte d’Azur,,9991,1250689010
594920032115359743,Lillers,Lillers,50.5644,2.4831,France,FR,FRA,Hauts-de-France,,9988,1250000845
595032886676029439,Chambly,Chambly,49.1672,2.2489,France,FR,FRA,Hauts-de-France,,9980,1250064541
595030627523231743,Eybens,Eybens,45.1494,5.7508,France,FR,FRA,Auvergne-Rhône-Alpes,,9974,1250212542
595029631090819071,Marly,Marly,49.0599,6.154,France,FR,FRA,Grand Est,,9971,1250026815
595032895265964031,Fosses,Fosses,49.0989,2.5075,France,FR,FRA,Île-de-France,,9929,1250023015
595029588141146111,Maxéville,Maxeville,48.7122,6.1639,France,FR,FRA,Grand Est,,9921,1250407242
595484554026811391,Carmaux,Carmaux,44.05,2.1589,France,FR,FRA,Occitanie,,9898,1250416433
595485172502102015,Biot,Biot,43.6294,7.0961,France,FR,FRA,Provence-Alpes-Côte d’Azur,,9880,1250684857
594902087741997055,Ploërmel,Ploermel,47.9325,-2.3961,France,FR,FRA,Bretagne,,9879,1250219929
595030490084278271,Vétraz-Monthoux,Vetraz-Monthoux,46.1742,6.2581,France,FR,FRA,Auvergne-Rhône-Alpes,,9874,1250512324
594902671857549311,Saint-Pierre-du-Mont,Saint-Pierre-du-Mont,43.8833,-0.5183,France,FR,FRA,Nouvelle-Aquitaine,,9871,1250835528
594920014935490559,Montigny-en-Gohelle,Montigny-en-Gohelle,50.4286,2.9308,France,FR,FRA,Hauts-de-France,,9870,1250090128
595030438544670719,Roche-la-Molière,Roche-la-Moliere,45.4347,4.3244,France,FR,FRA,Auvergne-Rhône-Alpes,,9863,1250206871
595030421364801535,Grigny,Grigny,45.6092,4.7906,France,FR,FRA,Auvergne-Rhône-Alpes,,9851,1250633227
595030421364801535,Feyzin,Feyzin,45.6728,4.8589,France,FR,FRA,Auvergne-Rhône-Alpes,,9850,1250488339
594904175096102911,Saint-Grégoire,Saint-Gregoire,48.1517,-1.685,France,FR,FRA,Bretagne,,9837,1250834963
594904638952570879,Couzeix,Couzeix,45.8769,1.2389,France,FR,FRA,Nouvelle-Aquitaine,,9828,1250333045
595484511077138431,Portet-sur-Garonne,Portet-sur-Garonne,43.5231,1.4067,France,FR,FRA,Occitanie,,9805,1250647294
595484528257007615,Seysses,Seysses,43.4989,1.3133,France,FR,FRA,Occitanie,,9789,1250913509
594919980575752191,Albert,Albert,50.0028,2.6528,France,FR,FRA,Hauts-de-France,,9781,1250793960
595484854674522111,Figeac,Figeac,44.6086,2.0317,France,FR,FRA,Occitanie,minor,9770,1250962434
594902079152062463,Loudéac,Loudeac,48.1778,-2.7539,France,FR,FRA,Bretagne,,9762,1250528163
595030661882970111,Voreppe,Voreppe,45.2986,5.6375,France,FR,FRA,Auvergne-Rhône-Alpes,,9758,1250168262
595033049884786687,Ingré,Ingre,47.9211,1.825,France,FR,FRA,Centre-Val de Loire,,9755,1250221426
594904346894794751,Darnétal,Darnetal,49.4453,1.1519,France,FR,FRA,Normandie,,9738,1250534299
594904346894794751,Grand-Couronne,Grand-Couronne,49.3583,1.0081,France,FR,FRA,Normandie,,9726,1250318831
595032972575375359,La Ferté-sous-Jouarre,La Ferte-sous-Jouarre,48.9497,3.1303,France,FR,FRA,Île-de-France,,9714,1250168754
594920264043593727,Bondues,Bondues,50.7022,3.0939,France,FR,FRA,Hauts-de-France,,9713,1250833550
595032646157860863,Serris,Serris,48.8456,2.7878,France,FR,FRA,Île-de-France,,9706,1250685279
595031735624794111,Rombas,Rombas,49.2503,6.095,France,FR,FRA,Grand Est,,9697,1250716486
595484562616745983,Saint-Lys,Saint-Lys,43.515,1.1783,France,FR,FRA,Occitanie,,9686,1250561476
595015028202012671,Borgo,Borgo,42.5547,9.4281,France,FR,FRA,Corsica,,9678,1250217723
595484519667073023,Revel,Revel,43.4594,2.0047,France,FR,FRA,Occitanie,,9665,1250490543
595485069422886911,La Farlède,La Farlede,43.1686,6.0436,France,FR,FRA,Provence-Alpes-Côte d’Azur,,9658,1250141356
594919954805948415,Arques,Arques,50.7361,2.3033,France,FR,FRA,Hauts-de-France,,9655,1250707175
594920281223462911,Merville,Merville,50.6444,2.6411,France,FR,FRA,Hauts-de-France,,9652,1250352360
594920014935490559,Sallaumines,Sallaumines,50.4203,2.8631,France,FR,FRA,Hauts-de-France,,9650,1250623453
595485129552429055,Le Muy,Le Muy,43.4736,6.5667,France,FR,FRA,Provence-Alpes-Côte d’Azur,,9646,1250812902
595032775006879743,Saint-Doulchard,Saint-Doulchard,47.1056,2.3575,France,FR,FRA,Centre-Val de Loire,,9645,1250470159
595029596731080703,Dombasle-sur-Meurthe,Dombasle-sur-Meurthe,48.6256,6.3506,France,FR,FRA,Grand Est,,9633,1250827581
594904312535056383,Bernay,Bernay,49.09,0.6,France,FR,FRA,Normandie,minor,9622,1250424419
